,result,moves
0,-1,"['2R', '1R', '4L', '0R', '0R', '4R', '3R', '4L', '3R', '4R', '2R', '3L', '2L']"
1,-1,"['2L', '0R', '2L', '1L', '0L', '2R', '3L', '4R', '0R']"
2,1,"['0L', '2R', '4L']"
3,1,"['2L', '0R', '1R', '1L', '2R', '0R', '3R', '1R', '1L', '3R']"
4,1,"['2L', '3R', '0L', '1R', '0R', '0R', '2L', '0L', '3L', '3L', '2R', '1R', '2R', '0L', '3R', '4L', '3L', '0R', '1L', '0L', '4R', '1R', '0L']"
5,1,"['1R', '0L', '3R', '2R', '4R', '4R']"
6,1,"['2L', '3L', '3R', '3R', '1L', '2L', '0L', '0R', '1R', '2L', '2L', '4L', '3R', '0R', '1L', '0L', '1L', '2R', '3L', '2L', '1L', '0R', '0R', '4L', '0R', '3R', '1L', '4L', '0R', '2L']"
7,0,"['3R', '1R', '0L', '0L', '1L', '4L', '0L', '1L', '0L', '1L', '3L', '1L', '2R', '0R', '4R', '2L']"
8,-1,"['4L', '4R', '1L', '3R', '1L', '0L', '1R', '4L', '0R', '2R', '1L', '3L', '2L']"
9,1,"['1R', '3L', '2L', '4R', '3L', '4L']"
