,result,max_time,min_time,total_thinking_time,total_move,thinking_time
0,-1,0.34299898,0.2389648,1.6565132,6,"0.26203298568725586,0.2769923210144043,0.23896479606628418,0.2394094467163086,0.3429989814758301,0.2961146831512451"
1,-1,0.27296424,0.23727536,1.5254991,6,"0.2729642391204834,0.23896479606628418,0.24303293228149414,0.2372753620147705,0.266507625579834,0.266754150390625"
2,-1,0.29299998,0.24769497,1.6519926,6,"0.29200005531311035,0.2850015163421631,0.27605295181274414,0.2582430839538574,0.2476949691772461,0.2929999828338623"
3,-1,0.32101035,0.23899746,3.7009437,14,"0.3210103511810303,0.24660110473632812,0.24100208282470703,0.25896430015563965,0.2858414649963379,0.2389974594116211,0.29927492141723633,0.2650017738342285,0.30524611473083496,0.25182390213012695,0.25614047050476074,0.24199628829956055,0.2400062084197998,0.2490372657775879"
4,-1,0.3260026,0.24165106,1.6515622,6,"0.24165105819702148,0.24790644645690918,0.2509653568267822,0.31800031661987305,0.3260025978088379,0.26703643798828125"
5,-1,0.3017087,0.23702979,1.5501091,6,"0.24324679374694824,0.26111316680908203,0.24100780487060547,0.266002893447876,0.2370297908782959,0.3017086982727051"
6,-1,0.31500077,0.23664904,1.5639303,6,"0.2366490364074707,0.3150007724761963,0.29279637336730957,0.24150776863098145,0.23901939392089844,0.23895692825317383"
7,-1,0.2752726,0.23503995,1.5194468,6,"0.2670009136199951,0.23899626731872559,0.2651364803314209,0.23503994941711426,0.23800063133239746,0.2752726078033447"
8,-1,0.26399994,0.23601031,1.4848928,6,"0.25707221031188965,0.23601031303405762,0.23981046676635742,0.23999834060668945,0.26399993896484375,0.2480015754699707"
9,-1,0.31798863,0.23699641,5.9055514,24,"0.23999953269958496,0.23903369903564453,0.23796939849853516,0.31798863410949707,0.23790740966796875,0.24765253067016602,0.24303126335144043,0.240037202835083,0.24766921997070312,0.24094843864440918,0.23800063133239746,0.25999999046325684,0.24019503593444824,0.2605936527252197,0.2381610870361328,0.252643346786499,0.23800110816955566,0.23699641227722168,0.247025728225708,0.23966288566589355,0.24461865425109863,0.23965120315551758,0.23911046981811523,0.23865389823913574"
10,-1,0.45989656,0.23599863,25.697414,99,"0.23966503143310547,0.23799920082092285,0.2367699146270752,0.2409989833831787,0.2709977626800537,0.23868799209594727,0.2366805076599121,0.2599654197692871,0.24727153778076172,0.23771929740905762,0.2400040626525879,0.23796963691711426,0.24196171760559082,0.2710533142089844,0.251997709274292,0.2689681053161621,0.27900052070617676,0.3042764663696289,0.28560733795166016,0.23876619338989258,0.2389984130859375,0.23850131034851074,0.23700213432312012,0.27683019638061523,0.24977970123291016,0.23761320114135742,0.2440013885498047,0.2409529685974121,0.2980005741119385,0.2429661750793457,0.2633965015411377,0.2659425735473633,0.2429666519165039,0.2690005302429199,0.23800182342529297,0.24776721000671387,0.23903107643127441,0.2418050765991211,0.3377234935760498,0.24112915992736816,0.28762197494506836,0.26869797706604004,0.4598965644836426,0.2536463737487793,0.3393890857696533,0.27312254905700684,0.26396632194519043,0.26215434074401855,0.23799896240234375,0.23800945281982422,0.24402260780334473,0.27380895614624023,0.23999905586242676,0.3068826198577881,0.24803447723388672,0.2533130645751953,0.25866103172302246,0.2406306266784668,0.28165292739868164,0.238661527633667,0.25803375244140625,0.24952411651611328,0.24653029441833496,0.3469991683959961,0.23799967765808105,0.3308701515197754,0.23816752433776855,0.26808786392211914,0.23603153228759766,0.24199962615966797,0.28205394744873047,0.30899715423583984,0.24863934516906738,0.28156471252441406,0.2526419162750244,0.24035072326660156,0.2379624843597412,0.28701281547546387,0.2376852035522461,0.23987340927124023,0.2390127182006836,0.2439730167388916,0.274158239364624,0.238999605178833,0.2431166172027588,0.23599863052368164,0.24399852752685547,0.25100159645080566,0.23764348030090332,0.31816816329956055,0.25809431076049805,0.23699617385864258,0.2556281089782715,0.24003362655639648,0.2896299362182617,0.2369992733001709,0.24196338653564453,0.2720332145690918,0.2409965991973877"
11,-1,0.29840803,0.24002647,1.5756648,6,"0.25084519386291504,0.2646453380584717,0.24499821662902832,0.29840803146362305,0.24002647399902344,0.27674150466918945"
12,-1,0.29400158,0.23700666,1.5251231,6,"0.2585599422454834,0.2420024871826172,0.2425227165222168,0.29400157928466797,0.23700666427612305,0.25102972984313965"
13,-1,0.28050852,0.2381692,1.5033433,6,"0.2570009231567383,0.24163126945495605,0.24503421783447266,0.2409992218017578,0.28050851821899414,0.23816919326782227"
14,-1,0.31000113,0.23503542,1.5112178,6,"0.24164199829101562,0.2388472557067871,0.23665761947631836,0.3100011348724365,0.23503541946411133,0.24903440475463867"
15,-1,0.2885785,0.23592734,8.963976,36,"0.24381542205810547,0.24502992630004883,0.2716047763824463,0.23732972145080566,0.2609987258911133,0.24107813835144043,0.25481128692626953,0.2880115509033203,0.25099921226501465,0.23940229415893555,0.27701902389526367,0.23613286018371582,0.23604321479797363,0.23650670051574707,0.23599600791931152,0.24886441230773926,0.2389991283416748,0.24112653732299805,0.24651098251342773,0.24466729164123535,0.2378702163696289,0.2516655921936035,0.23796391487121582,0.2397937774658203,0.28857851028442383,0.2376563549041748,0.24903512001037598,0.24654793739318848,0.23592734336853027,0.2633218765258789,0.23596405982971191,0.26303648948669434,0.24210810661315918,0.24065017700195312,0.2721705436706543,0.24673795700073242"
