,result,max_time,min_time,total_thinking_time,total_move,thinking_time
0,-1,0.0010039806,0.0,0.009974718,15,"0.0009984970092773438,0.0,0.0009670257568359375,0.0010039806365966797,0.0,0.0,0.0010006427764892578,0.0010020732879638672,0.0,0.0010004043579101562,0.0010006427764892578,0.00099945068359375,0.001001119613647461,0.0010008811950683594,0.0"
1,-1,0.001039505,0.0,0.022797346,40,"0.0010004043579101562,0.0,0.0010001659393310547,0.0,0.0009999275207519531,0.0010018348693847656,0.0010085105895996094,0.001001596450805664,0.0,0.0010006427764892578,0.0010030269622802734,0.001001119613647461,0.0,0.0010001659393310547,0.0,0.0,0.0009648799896240234,0.001001596450805664,0.0,0.0,0.0009999275207519531,0.0009589195251464844,0.0009999275207519531,0.0,0.0009634494781494141,0.0,0.0010001659393310547,0.0009653568267822266,0.0009646415710449219,0.0,0.001001119613647461,0.0009610652923583984,0.0,0.0,0.0009593963623046875,0.0,0.0,0.0010395050048828125,0.0,0.0"
2,-1,0.0045969486,0.0,0.018620014,27,"0.0045969486236572266,0.0010039806365966797,0.0010006427764892578,0.0,0.0009996891021728516,0.0010006427764892578,0.0,0.0,0.001001119613647461,0.0010023117065429688,0.0,0.0009999275207519531,0.0,0.0010025501251220703,0.0010008811950683594,0.0010037422180175781,0.001001596450805664,0.0010013580322265625,0.0,0.0,0.0,0.0010023117065429688,0.0,0.0,0.0,0.0,0.0010023117065429688"
3,-1,0.0010073185,0.0,0.0080058575,11,"0.0009982585906982422,0.00099945068359375,0.0009970664978027344,0.001001596450805664,0.0010001659393310547,0.0,0.0,0.0,0.001001596450805664,0.0010073184967041016,0.0010004043579101562"
4,1,0.0010015965,0.0,0.008960009,16,"0.0,0.0,0.0,0.0,0.0010013580322265625,0.0,0.0010004043579101562,0.0,0.000965118408203125,0.0010013580322265625,0.001001596450805664,0.0,0.0009965896606445312,0.0009953975677490234,0.0009989738464355469,0.0009992122650146484"
5,1,0.0010018349,0.0,0.011006832,17,"0.0010004043579101562,0.0010006427764892578,0.0,0.0010006427764892578,0.0,0.0010006427764892578,0.0,0.0009996891021728516,0.0010006427764892578,0.001001119613647461,0.0010018348693847656,0.001001119613647461,0.0010006427764892578,0.0,0.0,0.00099945068359375,0.0"
6,-1,0.0010008812,0.0,0.0040011406,11,"0.0,0.0,0.0,0.0,0.0009999275207519531,0.0,0.0010008811950683594,0.0010006427764892578,0.0,0.0,0.0009996891021728516"
7,-1,0.0010008812,0.0,0.00300169,7,"0.0010004043579101562,0.0010004043579101562,0.0010008811950683594,0.0,0.0,0.0,0.0"
8,-1,0.0010035038,0.0,0.004943371,8,"0.0009744167327880859,0.0010018348693847656,0.0,0.0009627342224121094,0.0,0.0010035037994384766,0.0010008811950683594,0.0"
9,-1,0.0010023117,0.0,0.003905058,7,"0.0010023117065429688,0.0,0.0,0.0009691715240478516,0.0,0.0009663105010986328,0.0009672641754150391"
