,result,max_time,min_time,total_thinking_time,total_move,thinking_time
0,-1,0.6642313,0.24115968,21.079733,61,"0.2686879634857178,0.3710024356842041,0.5489981174468994,0.40799975395202637,0.3690009117126465,0.6642313003540039,0.4187285900115967,0.4970111846923828,0.42501044273376465,0.29613471031188965,0.2637290954589844,0.3900010585784912,0.29200005531311035,0.3369011878967285,0.32827329635620117,0.5317826271057129,0.4126472473144531,0.29709315299987793,0.30196166038513184,0.25666117668151855,0.28095531463623047,0.3000035285949707,0.26468825340270996,0.2547178268432617,0.24194025993347168,0.25963306427001953,0.2456812858581543,0.37900781631469727,0.5480225086212158,0.6079888343811035,0.3006935119628906,0.407393217086792,0.3877391815185547,0.2779972553253174,0.2642059326171875,0.3707420825958252,0.4077334403991699,0.2417008876800537,0.29199981689453125,0.30499768257141113,0.4686858654022217,0.3509960174560547,0.36852049827575684,0.3022770881652832,0.331038236618042,0.3625791072845459,0.24115967750549316,0.26199913024902344,0.3221719264984131,0.3355236053466797,0.4019012451171875,0.31989622116088867,0.26601433753967285,0.25003552436828613,0.2631855010986328,0.25502634048461914,0.4629948139190674,0.2550621032714844,0.2662487030029297,0.24226856231689453,0.4364495277404785"
1,-1,0.30683827,0.23920202,1.7775211,7,"0.2398214340209961,0.24031686782836914,0.2510848045349121,0.3068382740020752,0.24868106842041016,0.25157666206359863,0.23920202255249023"
2,-1,0.2696271,0.2373097,1.7337909,7,"0.23800110816955566,0.24078965187072754,0.26962709426879883,0.23730969429016113,0.25795769691467285,0.24314212799072266,0.2469635009765625"
3,-1,0.2799623,0.23890328,1.7576063,7,"0.24013113975524902,0.23890328407287598,0.24959754943847656,0.27996230125427246,0.24115228652954102,0.2626779079437256,0.24518179893493652"
4,-1,0.2850001,0.23499894,1.7298622,7,"0.2395923137664795,0.24012327194213867,0.2850000858306885,0.23599910736083984,0.23560762405395508,0.2585408687591553,0.2349989414215088"
5,-1,0.27182937,0.23783493,1.7783976,7,"0.23908352851867676,0.2640037536621094,0.26690173149108887,0.25334930419921875,0.24539494514465332,0.23783493041992188,0.27182936668395996"
6,-1,0.29284215,0.23900867,1.8154027,7,"0.29284214973449707,0.23900866508483887,0.26200175285339355,0.24188566207885742,0.2439875602722168,0.2770876884460449,0.2585892677307129"
7,-1,0.28910828,0.2377069,1.7658019,7,"0.2396836280822754,0.2752358913421631,0.23770689964294434,0.23903393745422363,0.24103331565856934,0.24399995803833008,0.2891082763671875"
8,-1,0.2969718,0.23503661,3.0610056,12,"0.2670001983642578,0.24028754234313965,0.24608469009399414,0.24966168403625488,0.24193382263183594,0.2900388240814209,0.26295995712280273,0.25403356552124023,0.23996543884277344,0.23503661155700684,0.29697179794311523,0.2370314598083496"
9,-1,0.31699872,0.23313618,23.892014,96,"0.24971628189086914,0.27100133895874023,0.24431204795837402,0.24432373046875,0.2396852970123291,0.24072837829589844,0.26600003242492676,0.2397160530090332,0.2819991111755371,0.23964953422546387,0.25099778175354004,0.25812220573425293,0.23313617706298828,0.3169987201690674,0.23622393608093262,0.24173259735107422,0.23796367645263672,0.23601007461547852,0.2759981155395508,0.23865127563476562,0.2400343418121338,0.24303460121154785,0.24172544479370117,0.2837390899658203,0.23920488357543945,0.2519981861114502,0.24696564674377441,0.24796271324157715,0.25499844551086426,0.2425525188446045,0.24999690055847168,0.27300119400024414,0.2420358657836914,0.24796366691589355,0.239349365234375,0.25696516036987305,0.24499893188476562,0.23869633674621582,0.24296259880065918,0.23900365829467773,0.2695462703704834,0.24599909782409668,0.25403499603271484,0.2756843566894531,0.2360365390777588,0.2590351104736328,0.23504018783569336,0.29021191596984863,0.2517552375793457,0.2339627742767334,0.2459731101989746,0.2409665584564209,0.24683046340942383,0.23700189590454102,0.2569756507873535,0.2370002269744873,0.23710989952087402,0.25394511222839355,0.23958730697631836,0.23366236686706543,0.24259018898010254,0.2430417537689209,0.2576782703399658,0.23572969436645508,0.2558448314666748,0.2393357753753662,0.2632572650909424,0.24098873138427734,0.2413485050201416,0.2811422348022461,0.23342561721801758,0.2469620704650879,0.24657511711120605,0.24294257164001465,0.2519981861114502,0.23375964164733887,0.2360243797302246,0.24403643608093262,0.2657632827758789,0.2653975486755371,0.2390000820159912,0.24900174140930176,0.25766634941101074,0.23597002029418945,0.2396559715270996,0.24200034141540527,0.2416975498199463,0.2491753101348877,0.23999857902526855,0.25067710876464844,0.24047493934631348,0.26914072036743164,0.2411351203918457,0.24602913856506348,0.25100135803222656,0.24103260040283203"
