,result,max_time,min_time,total_thinking_time,total_move,thinking_time
0,1,0.001003027,0.0,0.0030014515,5,"0.0010030269622802734,0.0,0.000997781753540039,0.0010006427764892578,0.0"
1,-1,0.0010111332,0.0,0.016731262,23,"0.0009663105010986328,0.0010061264038085938,0.0009605884552001953,0.0010006427764892578,0.0010008811950683594,0.0,0.001001119613647461,0.0010025501251220703,0.0008001327514648438,0.0,0.0010020732879638672,0.001001119613647461,0.0010111331939697266,0.0,0.0010006427764892578,0.0009996891021728516,0.001001119613647461,0.0,0.0010018348693847656,0.0010094642639160156,0.0009658336639404297,0.0,0.0"
2,-1,0.0010018349,0.0,0.0040011406,5,"0.0009987354278564453,0.0,0.0010001659393310547,0.0010004043579101562,0.0010018348693847656"
3,-1,0.0014054775,0.0,0.010969162,14,"0.0009975433349609375,0.0009949207305908203,0.001405477523803711,0.001001596450805664,0.0,0.0009999275207519531,0.0010004043579101562,0.0009970664978027344,0.0,0.0,0.00060272216796875,0.0009951591491699219,0.0009753704071044922,0.0009989738464355469"
4,-1,0.0010123253,0.0009946823,0.0060067177,6,"0.0010123252868652344,0.0010006427764892578,0.0010006427764892578,0.0009984970092773438,0.0009946823120117188,0.0009999275207519531"
5,1,0.00197196,0.0,0.0049729347,7,"0.0010004043579101562,0.0019719600677490234,0.0,0.0,0.0009999275207519531,0.0010006427764892578,0.0"
6,-1,0.0010037422,0.0,0.0059742928,8,"0.00099945068359375,0.00099945068359375,0.00099945068359375,0.0010037422180175781,0.0010001659393310547,0.0,0.0009720325469970703,0.0"
7,-1,0.0010001659,0.0,0.0059173107,8,"0.0009980201721191406,0.0010001659393310547,0.0,0.0009958744049072266,0.0009922981262207031,0.0009660720825195312,0.0,0.0009648799896240234"
8,1,0.012999535,0.0,0.023991108,11,"0.0,0.0,0.0009920597076416016,0.0010001659393310547,0.005999326705932617,0.0009996891021728516,0.012999534606933594,0.0,0.0,0.0020003318786621094,0.0"
9,-1,0.0010359287,0.0,0.018715382,26,"0.0010018348693847656,0.0009644031524658203,0.0,0.0010027885437011719,0.0009999275207519531,0.001035928726196289,0.0009999275207519531,0.0,0.0008018016815185547,0.0,0.0009646415710449219,0.0,0.0009658336639404297,0.0009992122650146484,0.0010023117065429688,0.0,0.0009982585906982422,0.0009992122650146484,0.0009999275207519531,0.0010020732879638672,0.0,0.0009744167327880859,0.0,0.001001119613647461,0.0010008811950683594,0.0010008811950683594"
