,result,max_time,min_time,total_thinking_time,total_move,thinking_time
0,1,0.30144644,0.23800063,3.6067724,14,"0.24300122261047363,0.24170374870300293,0.24808621406555176,0.286468505859375,0.23800063133239746,0.26102256774902344,0.2721395492553711,0.25639939308166504,0.24704718589782715,0.30144643783569336,0.25848817825317383,0.24794769287109375,0.24503588676452637,0.25998520851135254"
1,1,0.30599833,0.23296523,4.6009455,18,"0.27899718284606934,0.24064850807189941,0.2359757423400879,0.25916075706481934,0.3059983253479004,0.29020047187805176,0.24371027946472168,0.24775171279907227,0.24164915084838867,0.23715853691101074,0.2599952220916748,0.2767302989959717,0.24445772171020508,0.23865175247192383,0.23296523094177246,0.24323654174804688,0.2429981231689453,0.28065991401672363"
2,1,0.55756736,0.23874402,4.9280624,15,"0.23874402046203613,0.37799501419067383,0.3860032558441162,0.241682767868042,0.2392289638519287,0.24426054954528809,0.25054359436035156,0.37325358390808105,0.5575673580169678,0.3410158157348633,0.3879995346069336,0.36186957359313965,0.38466763496398926,0.2700324058532715,0.27319860458374023"
3,1,0.6830001,0.24800038,12.7917595,33,"0.36899423599243164,0.25299859046936035,0.25299668312072754,0.2539985179901123,0.24898481369018555,0.3450000286102295,0.3229947090148926,0.2480003833770752,0.33899998664855957,0.2749977111816406,0.475966215133667,0.4389979839324951,0.5679893493652344,0.4376716613769531,0.407459020614624,0.373629093170166,0.5106403827667236,0.6830000877380371,0.4480018615722656,0.42799830436706543,0.489001989364624,0.3230016231536865,0.3379979133605957,0.3230001926422119,0.37399911880493164,0.6464459896087646,0.3299984931945801,0.29400014877319336,0.3039999008178711,0.3859999179840088,0.4239983558654785,0.3919987678527832,0.488997220993042"
4,-1,0.48415637,0.23600006,4.270707,14,"0.24283075332641602,0.34366893768310547,0.24563384056091309,0.48415637016296387,0.3489654064178467,0.3020443916320801,0.29303598403930664,0.27512359619140625,0.45433759689331055,0.30904555320739746,0.23659467697143555,0.24403858184814453,0.2552313804626465,0.23600006103515625"
5,-1,0.36197448,0.23399949,4.34719,16,"0.27185869216918945,0.25760960578918457,0.3246302604675293,0.23917245864868164,0.247727632522583,0.36197447776794434,0.3069651126861572,0.3369638919830322,0.23399949073791504,0.2390003204345703,0.2545785903930664,0.29590487480163574,0.2538573741912842,0.2430408000946045,0.23999500274658203,0.23991107940673828"
6,-1,0.43899894,0.23824358,6.4596424,21,"0.23999595642089844,0.2766447067260742,0.23858404159545898,0.283642053604126,0.290118932723999,0.26726341247558594,0.25188708305358887,0.2641570568084717,0.26918721199035645,0.2506387233734131,0.3892331123352051,0.37199854850769043,0.2725212574005127,0.29901695251464844,0.41300177574157715,0.4036219120025635,0.4389989376068115,0.2622954845428467,0.3550238609313965,0.38356781005859375,0.23824357986450195"
7,-1,0.34981418,0.23622513,2.1189122,8,"0.34981417655944824,0.25710487365722656,0.24912118911743164,0.24054813385009766,0.23903656005859375,0.2380983829498291,0.23622512817382812,0.3089637756347656"
8,1,0.52223516,0.2384429,2.7715087,10,"0.23844289779663086,0.2409980297088623,0.24556517601013184,0.2555983066558838,0.25398778915405273,0.27213263511657715,0.2389976978302002,0.24317049980163574,0.26038050651550293,0.5222351551055908"
9,-1,0.47365642,0.23929358,3.9013388,13,"0.24499154090881348,0.243910551071167,0.2635371685028076,0.2628462314605713,0.25170183181762695,0.23929357528686523,0.2878999710083008,0.38283205032348633,0.47365641593933105,0.40915441513061523,0.30417656898498535,0.26915621757507324,0.26818227767944336"
