,result,max_time,min_time,total_thinking_time,total_move,thinking_time
0,1,0.0011889935,0.0,0.01205349,16,"0.0,0.0,0.0011889934539794922,0.0010008811950683594,0.000965118408203125,0.0009968280792236328,0.0009717941284179688,0.0010044574737548828,0.0009980201721191406,0.0010018348693847656,0.00099945068359375,0.0009584426879882812,0.0009996891021728516,0.0009679794311523438,0.0,0.0"
1,-1,0.0010011196,0.0,0.004976511,10,"0.0009989738464355469,0.0,0.0010006427764892578,0.0009756088256835938,0.0,0.001001119613647461,0.0,0.0,0.0,0.0010001659393310547"
2,-1,0.0010018349,0.0,0.009000778,12,"0.0,0.0009958744049072266,0.0009989738464355469,0.0010013580322265625,0.0010018348693847656,0.0009987354278564453,0.001001119613647461,0.0,0.001001119613647461,0.0,0.0010008811950683594,0.0010008811950683594"
3,-1,0.0020165443,0.0,0.017902851,27,"0.0009980201721191406,0.0009980201721191406,0.0,0.0010001659393310547,0.001001596450805664,0.0,0.0009996891021728516,0.0,0.0009989738464355469,0.0,0.0009713172912597656,0.0009996891021728516,0.0,0.0010008811950683594,0.0,0.0,0.0009648799896240234,0.0,0.0010035037994384766,0.0009698867797851562,0.0,0.00201416015625,0.0,0.0009624958038330078,0.0,0.0010030269622802734,0.0020165443420410156"
4,-1,0.0010049343,0.0,0.010598898,23,"0.0010020732879638672,0.0009918212890625,0.001001596450805664,0.0009784698486328125,0.0009794235229492188,0.0,0.0,0.0,0.0,0.0010013580322265625,0.0,0.0,0.0,0.0006933212280273438,0.0,0.0009753704071044922,0.001001596450805664,0.0,0.0,0.0,0.0,0.001004934310913086,0.00096893310546875"
5,-1,0.0010354519,0.0,0.007989645,11,"0.0010013580322265625,0.0010182857513427734,0.001001119613647461,0.000965118408203125,0.0,0.0,0.0009644031524658203,0.0,0.0010006427764892578,0.001035451889038086,0.001003265380859375"
6,1,0.0010049343,0.0,0.01981759,28,"0.0010025501251220703,0.001001119613647461,0.0009653568267822266,0.0,0.0009553432464599609,0.0,0.0010008811950683594,0.0010001659393310547,0.0,0.0,0.0009999275207519531,0.0,0.0009992122650146484,0.0009829998016357422,0.0,0.0009984970092773438,0.0009665489196777344,0.0010020732879638672,0.0009987354278564453,0.0010013580322265625,0.0,0.0010037422180175781,0.0009694099426269531,0.0009996891021728516,0.0010004043579101562,0.0009646415710449219,0.001004934310913086,0.0"
7,1,0.0010015965,0.0,0.0029973984,6,"0.00099945068359375,0.001001596450805664,0.0009963512420654297,0.0,0.0,0.0"
8,1,0.0010097027,0.0,0.006009817,14,"0.0009996891021728516,0.0,0.0010001659393310547,0.0,0.0,0.0,0.0,0.0010008811950683594,0.0010006427764892578,0.0009987354278564453,0.0,0.0010097026824951172,0.0,0.0"
9,-1,0.0010018349,0.0,0.002600193,4,"0.0,0.0010018348693847656,0.0005984306335449219,0.0009999275207519531"
